Diagnóstico principal (CIE10MC);Sexo;Motivo del alta;Total
0600 ENFERMEDADES INFLAMATORIAS DEL SISTEMA NERVIOSO G00-G99;Hombres;otras causas;954
0600 ENFERMEDADES INFLAMATORIAS DEL SISTEMA NERVIOSO G00-G99;Mujeres;total;54.829
0600 ENFERMEDADES INFLAMATORIAS DEL SISTEMA NERVIOSO G00-G99;Mujeres;curación o mejoría;47.588
0600 ENFERMEDADES INFLAMATORIAS DEL SISTEMA NERVIOSO G00-G99;Mujeres;traslado a otros centros;3.989
0600 ENFERMEDADES INFLAMATORIAS DEL SISTEMA NERVIOSO G00-G99;Mujeres;fallecimiento;2.501
0600 ENFERMEDADES INFLAMATORIAS DEL SISTEMA NERVIOSO G00-G99;Mujeres;otras causas;752
0601 Enfermedad de Alzheimer G30;Ambos sexos;total;3.778
0601 Enfermedad de Alzheimer G30;Ambos sexos;curación o mejoría;2.015
0601 Enfermedad de Alzheimer G30;Ambos sexos;traslado a otros centros;1.168
0601 Enfermedad de Alzheimer G30;Ambos sexos;fallecimiento;548
0601 Enfermedad de Alzheimer G30;Ambos sexos;otras causas;48
0601 Enfermedad de Alzheimer G30;Hombres;total;1.524
0601 Enfermedad de Alzheimer G30;Hombres;curación o mejoría;796
0601 Enfermedad de Alzheimer G30;Hombres;traslado a otros centros;493
0601 Enfermedad de Alzheimer G30;Hombres;fallecimiento;210
0601 Enfermedad de Alzheimer G30;Hombres;otras causas;26
0601 Enfermedad de Alzheimer G30;Mujeres;total;2.254
0601 Enfermedad de Alzheimer G30;Mujeres;curación o mejoría;1.219
0601 Enfermedad de Alzheimer G30;Mujeres;traslado a otros centros;676
0601 Enfermedad de Alzheimer G30;Mujeres;fallecimiento;338
0601 Enfermedad de Alzheimer G30;Mujeres;otras causas;21
0602 Esclerosis múltiple G35;Ambos sexos;total;1.720
0602 Esclerosis múltiple G35;Ambos sexos;curación o mejoría;1.581
0602 Esclerosis múltiple G35;Ambos sexos;traslado a otros centros;96
0602 Esclerosis múltiple G35;Ambos sexos;fallecimiento;24
0602 Esclerosis múltiple G35;Ambos sexos;otras causas;19
0602 Esclerosis múltiple G35;Hombres;total;644
0602 Esclerosis múltiple G35;Hombres;curación o mejoría;590
0602 Esclerosis múltiple G35;Hombres;traslado a otros centros;38
0602 Esclerosis múltiple G35;Hombres;fallecimiento;9
0602 Esclerosis múltiple G35;Hombres;otras causas;7
0602 Esclerosis múltiple G35;Mujeres;total;1.076
0602 Esclerosis múltiple G35;Mujeres;curación o mejoría;991
0602 Esclerosis múltiple G35;Mujeres;traslado a otros centros;58
0602 Esclerosis múltiple G35;Mujeres;fallecimiento;15
0602 Esclerosis múltiple G35;Mujeres;otras causas;12
0603 Epilepsia G40;Ambos sexos;total;21.374
0603 Epilepsia G40;Ambos sexos;curación o mejoría;19.098
0603 Epilepsia G40;Ambos sexos;traslado a otros centros;1.185
0603 Epilepsia G40;Ambos sexos;fallecimiento;774
0603 Epilepsia G40;Ambos sexos;otras causas;317
0603 Epilepsia G40;Hombres;total;11.389
0603 Epilepsia G40;Hombres;curación o mejoría;10.174
0603 Epilepsia G40;Hombres;traslado a otros centros;655
0603 Epilepsia G40;Hombres;fallecimiento;350
0603 Epilepsia G40;Hombres;otras causas;209
0603 Epilepsia G40;Mujeres;total;9.985
0603 Epilepsia G40;Mujeres;curación o mejoría;8.924
0603 Epilepsia G40;Mujeres;traslado a otros centros;530
0603 Epilepsia G40;Mujeres;fallecimiento;424
0603 Epilepsia G40;Mujeres;otras causas;108
0604 Isquemia cerebral transitoria G45;Ambos sexos;total;14.440
0604 Isquemia cerebral transitoria G45;Ambos sexos;curación o mejoría;13.403
0604 Isquemia cerebral transitoria G45;Ambos sexos;traslado a otros centros;708
0604 Isquemia cerebral transitoria G45;Ambos sexos;fallecimiento;128
0604 Isquemia cerebral transitoria G45;Ambos sexos;otras causas;201
0604 Isquemia cerebral transitoria G45;Hombres;total;7.678
0604 Isquemia cerebral transitoria G45;Hombres;curación o mejoría;7.118
0604 Isquemia cerebral transitoria G45;Hombres;traslado a otros centros;392
0604 Isquemia cerebral transitoria G45;Hombres;fallecimiento;58
0604 Isquemia cerebral transitoria G45;Hombres;otras causas;111
0604 Isquemia cerebral transitoria G45;Mujeres;total;6.762
0604 Isquemia cerebral transitoria G45;Mujeres;curación o mejoría;6.285
0604 Isquemia cerebral transitoria G45;Mujeres;traslado a otros centros;317
0604 Isquemia cerebral transitoria G45;Mujeres;fallecimiento;70
0604 Isquemia cerebral transitoria G45;Mujeres;otras causas;90
0605 Otras enfermedades inflamatorias del sistema nervioso Resto de G00-G99;Ambos sexos;total;72.557
0605 Otras enfermedades inflamatorias del sistema nervioso Resto de G00-G99;Ambos sexos;curación o mejoría;62.149
0605 Otras enfermedades inflamatorias del sistema nervioso Resto de G00-G99;Ambos sexos;traslado a otros centros;5.395
0605 Otras enfermedades inflamatorias del sistema nervioso Resto de G00-G99;Ambos sexos;fallecimiento;3.892
0605 Otras enfermedades inflamatorias del sistema nervioso Resto de G00-G99;Ambos sexos;otras causas;1.122
0605 Otras enfermedades inflamatorias del sistema nervioso Resto de G00-G99;Hombres;total;37.805
0605 Otras enfermedades inflamatorias del sistema nervioso Resto de G00-G99;Hombres;curación o mejoría;31.979
0605 Otras enfermedades inflamatorias del sistema nervioso Resto de G00-G99;Hombres;traslado a otros centros;2.987
0605 Otras enfermedades inflamatorias del sistema nervioso Resto de G00-G99;Hombres;fallecimiento;2.238
0605 Otras enfermedades inflamatorias del sistema nervioso Resto de G00-G99;Hombres;otras causas;601
0605 Otras enfermedades inflamatorias del sistema nervioso Resto de G00-G99;Mujeres;total;34.753
0605 Otras enfermedades inflamatorias del sistema nervioso Resto de G00-G99;Mujeres;curación o mejoría;30.170
0605 Otras enfermedades inflamatorias del sistema nervioso Resto de G00-G99;Mujeres;traslado a otros centros;2.409
0605 Otras enfermedades inflamatorias del sistema nervioso Resto de G00-G99;Mujeres;fallecimiento;1.654
0605 Otras enfermedades inflamatorias del sistema nervioso Resto de G00-G99;Mujeres;otras causas;521
0700 ENFERMEDADES DEL OJO Y SUS ANEXOS  H00-H59;Ambos sexos;total;19.566
0700 ENFERMEDADES DEL OJO Y SUS ANEXOS  H00-H59;Ambos sexos;curación o mejoría;18.913
0700 ENFERMEDADES DEL OJO Y SUS ANEXOS  H00-H59;Ambos sexos;traslado a otros centros;441
0700 ENFERMEDADES DEL OJO Y SUS ANEXOS  H00-H59;Ambos sexos;fallecimiento;36
0700 ENFERMEDADES DEL OJO Y SUS ANEXOS  H00-H59;Ambos sexos;otras causas;175
0700 ENFERMEDADES DEL OJO Y SUS ANEXOS  H00-H59;Hombres;total;9.873
0700 ENFERMEDADES DEL OJO Y SUS ANEXOS  H00-H59;Hombres;curación o mejoría;9.519
0700 ENFERMEDADES DEL OJO Y SUS ANEXOS  H00-H59;Hombres;traslado a otros centros;246
0700 ENFERMEDADES DEL OJO Y SUS ANEXOS  H00-H59;Hombres;fallecimiento;20
0700 ENFERMEDADES DEL OJO Y SUS ANEXOS  H00-H59;Hombres;otras causas;88
0700 ENFERMEDADES DEL OJO Y SUS ANEXOS  H00-H59;Mujeres;total;9.693
0700 ENFERMEDADES DEL OJO Y SUS ANEXOS  H00-H59;Mujeres;curación o mejoría;9.394
0700 ENFERMEDADES DEL OJO Y SUS ANEXOS  H00-H59;Mujeres;traslado a otros centros;196
0700 ENFERMEDADES DEL OJO Y SUS ANEXOS  H00-H59;Mujeres;fallecimiento;16
0700 ENFERMEDADES DEL OJO Y SUS ANEXOS  H00-H59;Mujeres;otras causas;87
0701 Catarata H25-H26, H28;Ambos sexos;total;2.616
0701 Catarata H25-H26, H28;Ambos sexos;curación o mejoría;2.490
0701 Catarata H25-H26, H28;Ambos sexos;traslado a otros centros;89
0701 Catarata H25-H26, H28;Ambos sexos;fallecimiento;4
0701 Catarata H25-H26, H28;Ambos sexos;otras causas;33
0701 Catarata H25-H26, H28;Hombres;total;1.333
0701 Catarata H25-H26, H28;Hombres;curación o mejoría;1.266
0701 Catarata H25-H26, H28;Hombres;traslado a otros centros;52
0701 Catarata H25-H26, H28;Hombres;fallecimiento;1
0701 Catarata H25-H26, H28;Hombres;otras causas;15
0701 Catarata H25-H26, H28;Mujeres;total;1.283
0701 Catarata H25-H26, H28;Mujeres;curación o mejoría;1.225
0701 Catarata H25-H26, H28;Mujeres;traslado a otros centros;37
0701 Catarata H25-H26, H28;Mujeres;fallecimiento;3
0701 Catarata H25-H26, H28;Mujeres;otras causas;18
0702 Otras enfermedades del ojo y sus anexos  Resto de H00-H59;Ambos sexos;total;16.950
0702 Otras enfermedades del ojo y sus anexos  Resto de H00-H59;Ambos sexos;curación o mejoría;16.423
0702 Otras enfermedades del ojo y sus anexos  Resto de H00-H59;Ambos sexos;traslado a otros centros;353
0702 Otras enfermedades del ojo y sus anexos  Resto de H00-H59;Ambos sexos;fallecimiento;32
0702 Otras enfermedades del ojo y sus anexos  Resto de H00-H59;Ambos sexos;otras causas;142
0702 Otras enfermedades del ojo y sus anexos  Resto de H00-H59;Hombres;total;8.539
0702 Otras enfermedades del ojo y sus anexos  Resto de H00-H59;Hombres;curación o mejoría;8.253
0702 Otras enfermedades del ojo y sus anexos  Resto de H00-H59;Hombres;traslado a otros centros;194
0702 Otras enfermedades del ojo y sus anexos  Resto de H00-H59;Hombres;fallecimiento;19
0702 Otras enfermedades del ojo y sus anexos  Resto de H00-H59;Hombres;otras causas;73
0702 Otras enfermedades del ojo y sus anexos  Resto de H00-H59;Mujeres;total;8.410
0702 Otras enfermedades del ojo y sus anexos  Resto de H00-H59;Mujeres;curación o mejoría;8.169
0702 Otras enfermedades del ojo y sus anexos  Resto de H00-H59;Mujeres;traslado a otros centros;159
0702 Otras enfermedades del ojo y sus anexos  Resto de H00-H59;Mujeres;fallecimiento;13
0702 Otras enfermedades del ojo y sus anexos  Resto de H00-H59;Mujeres;otras causas;69
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95;Ambos sexos;total;18.650
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95;Ambos sexos;curación o mejoría;18.058
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95;Ambos sexos;traslado a otros centros;451
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95;Ambos sexos;fallecimiento;27
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95;Ambos sexos;otras causas;114
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95;Hombres;total;9.036
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95;Hombres;curación o mejoría;8.726
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95;Hombres;traslado a otros centros;227
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95;Hombres;fallecimiento;17
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95;Hombres;otras causas;66
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95;Mujeres;total;9.614
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95;Mujeres;curación o mejoría;9.332
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95;Mujeres;traslado a otros centros;225
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95;Mujeres;fallecimiento;9
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95;Mujeres;otras causas;49
0900 ENFERMEDADES DEL SISTEMA CIRCULATORIO I00-I99;Ambos sexos;total;584.830
0900 ENFERMEDADES DEL SISTEMA CIRCULATORIO I00-I99;Ambos sexos;curación o mejoría;481.159
0900 ENFERMEDADES DEL SISTEMA CIRCULATORIO I00-I99;Ambos sexos;traslado a otros centros;55.023
0900 ENFERMEDADES DEL SISTEMA CIRCULATORIO I00-I99;Ambos sexos;fallecimiento;41.865
0900 ENFERMEDADES DEL SISTEMA CIRCULATORIO I00-I99;Ambos sexos;otras causas;6.784
0900 ENFERMEDADES DEL SISTEMA CIRCULATORIO I00-I99;Hombres;total;333.132
0900 ENFERMEDADES DEL SISTEMA CIRCULATORIO I00-I99;Hombres;curación o mejoría;277.781
0900 ENFERMEDADES DEL SISTEMA CIRCULATORIO I00-I99;Hombres;traslado a otros centros;31.115
0900 ENFERMEDADES DEL SISTEMA CIRCULATORIO I00-I99;Hombres;fallecimiento;19.998
0900 ENFERMEDADES DEL SISTEMA CIRCULATORIO I00-I99;Hombres;otras causas;4.237
0900 ENFERMEDADES DEL SISTEMA CIRCULATORIO I00-I99;Mujeres;total;251.698
0900 ENFERMEDADES DEL SISTEMA CIRCULATORIO I00-I99;Mujeres;curación o mejoría;203.377
0900 ENFERMEDADES DEL SISTEMA CIRCULATORIO I00-I99;Mujeres;traslado a otros centros;23.907
0900 ENFERMEDADES DEL SISTEMA CIRCULATORIO I00-I99;Mujeres;fallecimiento;21.867
0900 ENFERMEDADES DEL SISTEMA CIRCULATORIO I00-I99;Mujeres;otras causas;2.547
0901 Enfermedad hipertensiva I10-I16;Ambos sexos;total;96.457
0901 Enfermedad hipertensiva I10-I16;Ambos sexos;curación o mejoría;78.556
0901 Enfermedad hipertensiva I10-I16;Ambos sexos;traslado a otros centros;7.094
0901 Enfermedad hipertensiva I10-I16;Ambos sexos;fallecimiento;9.580
0901 Enfermedad hipertensiva I10-I16;Ambos sexos;otras causas;1.227
0901 Enfermedad hipertensiva I10-I16;Hombres;total;43.641
0901 Enfermedad hipertensiva I10-I16;Hombres;curación o mejoría;35.909
0901 Enfermedad hipertensiva I10-I16;Hombres;traslado a otros centros;3.045
0901 Enfermedad hipertensiva I10-I16;Hombres;fallecimiento;4.070
0901 Enfermedad hipertensiva I10-I16;Hombres;otras causas;618
0901 Enfermedad hipertensiva I10-I16;Mujeres;total;52.815
0901 Enfermedad hipertensiva I10-I16;Mujeres;curación o mejoría;42.647
0901 Enfermedad hipertensiva I10-I16;Mujeres;traslado a otros centros;4.049
0901 Enfermedad hipertensiva I10-I16;Mujeres;fallecimiento;5.510
0901 Enfermedad hipertensiva I10-I16;Mujeres;otras causas;609
0902 Angina de pecho I20;Ambos sexos;total;9.788
0902 Angina de pecho I20;Ambos sexos;curación o mejoría;8.426
0902 Angina de pecho I20;Ambos sexos;traslado a otros centros;967
0902 Angina de pecho I20;Ambos sexos;fallecimiento;206
0902 Angina de pecho I20;Ambos sexos;otras causas;190
0902 Angina de pecho I20;Hombres;total;5.902
0902 Angina de pecho I20;Hombres;curación o mejoría;5.011
0902 Angina de pecho I20;Hombres;traslado a otros centros;657
0902 Angina de pecho I20;Hombres;fallecimiento;102
0902 Angina de pecho I20;Hombres;otras causas;132
0902 Angina de pecho I20;Mujeres;total;3.886
0902 Angina de pecho I20;Mujeres;curación o mejoría;3.415
0902 Angina de pecho I20;Mujeres;traslado a otros centros;310
0902 Angina de pecho I20;Mujeres;fallecimiento;104
0902 Angina de pecho I20;Mujeres;otras causas;58
0903 Infarto agudo de miocardio I21-I22;Ambos sexos;total;58.908
0903 Infarto agudo de miocardio I21-I22;Ambos sexos;curación o mejoría;47.702
0903 Infarto agudo de miocardio I21-I22;Ambos sexos;traslado a otros centros;7.048
0903 Infarto agudo de miocardio I21-I22;Ambos sexos;fallecimiento;3.362
0903 Infarto agudo de miocardio I21-I22;Ambos sexos;otras causas;796
0903 Infarto agudo de miocardio I21-I22;Hombres;total;42.111
0903 Infarto agudo de miocardio I21-I22;Hombres;curación o mejoría;34.496
0903 Infarto agudo de miocardio I21-I22;Hombres;traslado a otros centros;5.115
0903 Infarto agudo de miocardio I21-I22;Hombres;fallecimiento;1.895
0903 Infarto agudo de miocardio I21-I22;Hombres;otras causas;605
0903 Infarto agudo de miocardio I21-I22;Mujeres;total;16.797
0903 Infarto agudo de miocardio I21-I22;Mujeres;curación o mejoría;13.206
0903 Infarto agudo de miocardio I21-I22;Mujeres;traslado a otros centros;1.933
0903 Infarto agudo de miocardio I21-I22;Mujeres;fallecimiento;1.467
0903 Infarto agudo de miocardio I21-I22;Mujeres;otras causas;192
0904 Otras enfermedades isquémicas del corazón I23-I25;Ambos sexos;total;38.531
0904 Otras enfermedades isquémicas del corazón I23-I25;Ambos sexos;curación o mejoría;34.743
0904 Otras enfermedades isquémicas del corazón I23-I25;Ambos sexos;traslado a otros centros;2.900
0904 Otras enfermedades isquémicas del corazón I23-I25;Ambos sexos;fallecimiento;553
0904 Otras enfermedades isquémicas del corazón I23-I25;Ambos sexos;otras causas;335
0904 Otras enfermedades isquémicas del corazón I23-I25;Hombres;total;29.622
0904 Otras enfermedades isquémicas del corazón I23-I25;Hombres;curación o mejoría;26.701
0904 Otras enfermedades isquémicas del corazón I23-I25;Hombres;traslado a otros centros;2.271
0904 Otras enfermedades isquémicas del corazón I23-I25;Hombres;fallecimiento;378
0904 Otras enfermedades isquémicas del corazón I23-I25;Hombres;otras causas;272
0904 Otras enfermedades isquémicas del corazón I23-I25;Mujeres;total;8.909
0904 Otras enfermedades isquémicas del corazón I23-I25;Mujeres;curación o mejoría;8.042
0904 Otras enfermedades isquémicas del corazón I23-I25;Mujeres;traslado a otros centros;629
0904 Otras enfermedades isquémicas del corazón I23-I25;Mujeres;fallecimiento;175
0904 Otras enfermedades isquémicas del corazón I23-I25;Mujeres;otras causas;63
0905 Enfermedades de la circulación pulmonar I26-I28;Ambos sexos;total;26.951
0905 Enfermedades de la circulación pulmonar I26-I28;Ambos sexos;curación o mejoría;23.457
0905 Enfermedades de la circulación pulmonar I26-I28;Ambos sexos;traslado a otros centros;1.570
0905 Enfermedades de la circulación pulmonar I26-I28;Ambos sexos;fallecimiento;1.666
0905 Enfermedades de la circulación pulmonar I26-I28;Ambos sexos;otras causas;258
0905 Enfermedades de la circulación pulmonar I26-I28;Hombres;total;13.088
0905 Enfermedades de la circulación pulmonar I26-I28;Hombres;curación o mejoría;11.506
0905 Enfermedades de la circulación pulmonar I26-I28;Hombres;traslado a otros centros;706
0905 Enfermedades de la circulación pulmonar I26-I28;Hombres;fallecimiento;747
0905 Enfermedades de la circulación pulmonar I26-I28;Hombres;otras causas;130
0905 Enfermedades de la circulación pulmonar I26-I28;Mujeres;total;13.862
0905 Enfermedades de la circulación pulmonar I26-I28;Mujeres;curación o mejoría;11.951
0905 Enfermedades de la circulación pulmonar I26-I28;Mujeres;traslado a otros centros;864
0905 Enfermedades de la circulación pulmonar I26-I28;Mujeres;fallecimiento;919
0905 Enfermedades de la circulación pulmonar I26-I28;Mujeres;otras causas;129
0906 Trastornos de conducción y disritmias cardiacas I44-I49;Ambos sexos;total;79.226
0906 Trastornos de conducción y disritmias cardiacas I44-I49;Ambos sexos;curación o mejoría;72.688
0906 Trastornos de conducción y disritmias cardiacas I44-I49;Ambos sexos;traslado a otros centros;3.712
0906 Trastornos de conducción y disritmias cardiacas I44-I49;Ambos sexos;fallecimiento;2.242
0906 Trastornos de conducción y disritmias cardiacas I44-I49;Ambos sexos;otras causas;585
0906 Trastornos de conducción y disritmias cardiacas I44-I49;Hombres;total;45.088
0906 Trastornos de conducción y disritmias cardiacas I44-I49;Hombres;curación o mejoría;41.502
0906 Trastornos de conducción y disritmias cardiacas I44-I49;Hombres;traslado a otros centros;2.042
0906 Trastornos de conducción y disritmias cardiacas I44-I49;Hombres;fallecimiento;1.185
0906 Trastornos de conducción y disritmias cardiacas I44-I49;Hombres;otras causas;358
0906 Trastornos de conducción y disritmias cardiacas I44-I49;Mujeres;total;34.138
0906 Trastornos de conducción y disritmias cardiacas I44-I49;Mujeres;curación o mejoría;31.185
0906 Trastornos de conducción y disritmias cardiacas I44-I49;Mujeres;traslado a otros centros;1.669
0906 Trastornos de conducción y disritmias cardiacas I44-I49;Mujeres;fallecimiento;1.056
0906 Trastornos de conducción y disritmias cardiacas I44-I49;Mujeres;otras causas;227
0907 Insuficiencia cardiaca I50;Ambos sexos;total;56.775
0907 Insuficiencia cardiaca I50;Ambos sexos;curación o mejoría;44.074
0907 Insuficiencia cardiaca I50;Ambos sexos;traslado a otros centros;5.470
0907 Insuficiencia cardiaca I50;Ambos sexos;fallecimiento;6.495
0907 Insuficiencia cardiaca I50;Ambos sexos;otras causas;735
0907 Insuficiencia cardiaca I50;Hombres;total;27.482
0907 Insuficiencia cardiaca I50;Hombres;curación o mejoría;21.777
0907 Insuficiencia cardiaca I50;Hombres;traslado a otros centros;2.425
0907 Insuficiencia cardiaca I50;Hombres;fallecimiento;2.859
0907 Insuficiencia cardiaca I50;Hombres;otras causas;421
0907 Insuficiencia cardiaca I50;Mujeres;total;29.292
0907 Insuficiencia cardiaca I50;Mujeres;curación o mejoría;22.297
0907 Insuficiencia cardiaca I50;Mujeres;traslado a otros centros;3.046
0907 Insuficiencia cardiaca I50;Mujeres;fallecimiento;3.636
0907 Insuficiencia cardiaca I50;Mujeres;otras causas;314
0908 Enfermedades cerebrovasculares I60-I69;Ambos sexos;total;110.489
0908 Enfermedades cerebrovasculares I60-I69;Ambos sexos;curación o mejoría;77.136
0908 Enfermedades cerebrovasculares I60-I69;Ambos sexos;traslado a otros centros;18.858
0908 Enfermedades cerebrovasculares I60-I69;Ambos sexos;fallecimiento;13.180
0908 Enfermedades cerebrovasculares I60-I69;Ambos sexos;otras causas;1.314
0908 Enfermedades cerebrovasculares I60-I69;Hombres;total;60.458
0908 Enfermedades cerebrovasculares I60-I69;Hombres;curación o mejoría;43.385
0908 Enfermedades cerebrovasculares I60-I69;Hombres;traslado a otros centros;10.152
0908 Enfermedades cerebrovasculares I60-I69;Hombres;fallecimiento;6.101
0908 Enfermedades cerebrovasculares I60-I69;Hombres;otras causas;819
0908 Enfermedades cerebrovasculares I60-I69;Mujeres;total;50.031
0908 Enfermedades cerebrovasculares I60-I69;Mujeres;curación o mejoría;33.751
0908 Enfermedades cerebrovasculares I60-I69;Mujeres;traslado a otros centros;8.706
0908 Enfermedades cerebrovasculares I60-I69;Mujeres;fallecimiento;7.080
0908 Enfermedades cerebrovasculares I60-I69;Mujeres;otras causas;495
0909 Aterosclerosis I70;Ambos sexos;total;17.884
0909 Aterosclerosis I70;Ambos sexos;curación o mejoría;14.942
0909 Aterosclerosis I70;Ambos sexos;traslado a otros centros;1.681
0909 Aterosclerosis I70;Ambos sexos;fallecimiento;1.021
0909 Aterosclerosis I70;Ambos sexos;otras causas;241
0909 Aterosclerosis I70;Hombres;total;13.102
0909 Aterosclerosis I70;Hombres;curación o mejoría;11.087
0909 Aterosclerosis I70;Hombres;traslado a otros centros;1.231
0909 Aterosclerosis I70;Hombres;fallecimiento;599
0909 Aterosclerosis I70;Hombres;otras causas;185
0909 Aterosclerosis I70;Mujeres;total;4.782
0909 Aterosclerosis I70;Mujeres;curación o mejoría;3.855
0909 Aterosclerosis I70;Mujeres;traslado a otros centros;450
0909 Aterosclerosis I70;Mujeres;fallecimiento;422
0909 Aterosclerosis I70;Mujeres;otras causas;56
0910 Venas varicosas de las extremidades inferiores I83;Ambos sexos;total;6.325
0910 Venas varicosas de las extremidades inferiores I83;Ambos sexos;curación o mejoría;6.154
0910 Venas varicosas de las extremidades inferiores I83;Ambos sexos;traslado a otros centros;109
0910 Venas varicosas de las extremidades inferiores I83;Ambos sexos;fallecimiento;37
0910 Venas varicosas de las extremidades inferiores I83;Ambos sexos;otras causas;25
0910 Venas varicosas de las extremidades inferiores I83;Hombres;total;2.344
0910 Venas varicosas de las extremidades inferiores I83;Hombres;curación o mejoría;2.285
0910 Venas varicosas de las extremidades inferiores I83;Hombres;traslado a otros centros;37
0910 Venas varicosas de las extremidades inferiores I83;Hombres;fallecimiento;12
0910 Venas varicosas de las extremidades inferiores I83;Hombres;otras causas;9
0910 Venas varicosas de las extremidades inferiores I83;Mujeres;total;3.981
0910 Venas varicosas de las extremidades inferiores I83;Mujeres;curación o mejoría;3.869
0910 Venas varicosas de las extremidades inferiores I83;Mujeres;traslado a otros centros;72
0910 Venas varicosas de las extremidades inferiores I83;Mujeres;fallecimiento;24
0910 Venas varicosas de las extremidades inferiores I83;Mujeres;otras causas;16
0911 Otras enfermedades del sistema circulatorio Resto de I00-I99;Ambos sexos;total;83.496
0911 Otras enfermedades del sistema circulatorio Resto de I00-I99;Ambos sexos;curación o mejoría;73.281
0911 Otras enfermedades del sistema circulatorio Resto de I00-I99;Ambos sexos;traslado a otros centros;5.614
0911 Otras enfermedades del sistema circulatorio Resto de I00-I99;Ambos sexos;fallecimiento;3.524
0911 Otras enfermedades del sistema circulatorio Resto de I00-I99;Ambos sexos;otras causas;1.077
0911 Otras enfermedades del sistema circulatorio Resto de I00-I99;Hombres;total;50.293
0911 Otras enfermedades del sistema circulatorio Resto de I00-I99;Hombres;curación o mejoría;44.122
0911 Otras enfermedades del sistema circulatorio Resto de I00-I99;Hombres;traslado a otros centros;3.435
0911 Otras enfermedades del sistema circulatorio Resto de I00-I99;Hombres;fallecimiento;2.050
0911 Otras enfermedades del sistema circulatorio Resto de I00-I99;Hombres;otras causas;687
0911 Otras enfermedades del sistema circulatorio Resto de I00-I99;Mujeres;total;33.203
0911 Otras enfermedades del sistema circulatorio Resto de I00-I99;Mujeres;curación o mejoría;29.159
0911 Otras enfermedades del sistema circulatorio Resto de I00-I99;Mujeres;traslado a otros centros;2.180
0911 Otras enfermedades del sistema circulatorio Resto de I00-I99;Mujeres;fallecimiento;1.474
0911 Otras enfermedades del sistema circulatorio Resto de I00-I99;Mujeres;otras causas;390
1000 ENFERMEDADES DEL SISTEMA RESPIRATORIO J00-J99;Ambos sexos;total;486.307
1000 ENFERMEDADES DEL SISTEMA RESPIRATORIO J00-J99;Ambos sexos;curación o mejoría;416.800
1000 ENFERMEDADES DEL SISTEMA RESPIRATORIO J00-J99;Ambos sexos;traslado a otros centros;27.148
1000 ENFERMEDADES DEL SISTEMA RESPIRATORIO J00-J99;Ambos sexos;fallecimiento;35.607
1000 ENFERMEDADES DEL SISTEMA RESPIRATORIO J00-J99;Ambos sexos;otras causas;6.752
1000 ENFERMEDADES DEL SISTEMA RESPIRATORIO J00-J99;Hombres;total;267.685
1000 ENFERMEDADES DEL SISTEMA RESPIRATORIO J00-J99;Hombres;curación o mejoría;228.844
1000 ENFERMEDADES DEL SISTEMA RESPIRATORIO J00-J99;Hombres;traslado a otros centros;15.218
1000 ENFERMEDADES DEL SISTEMA RESPIRATORIO J00-J99;Hombres;fallecimiento;19.801
1000 ENFERMEDADES DEL SISTEMA RESPIRATORIO J00-J99;Hombres;otras causas;3.823
1000 ENFERMEDADES DEL SISTEMA RESPIRATORIO J00-J99;Mujeres;total;218.622
1000 ENFERMEDADES DEL SISTEMA RESPIRATORIO J00-J99;Mujeres;curación o mejoría;187.956
1000 ENFERMEDADES DEL SISTEMA RESPIRATORIO J00-J99;Mujeres;traslado a otros centros;11.930
1000 ENFERMEDADES DEL SISTEMA RESPIRATORIO J00-J99;Mujeres;fallecimiento;15.807
1000 ENFERMEDADES DEL SISTEMA RESPIRATORIO J00-J99;Mujeres;otras causas;2.929
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11;Ambos sexos;total;38.397
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11;Ambos sexos;curación o mejoría;35.671
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11;Ambos sexos;traslado a otros centros;1.339
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11;Ambos sexos;fallecimiento;914
